Marca;Dimensiones;Nombre;Fecha revisión;Recomendado;Puntuación;Texto
Wine Cube153;1.0 in x 1.0 in x 1.0 in;Pinot Noir - 3l Bottle - Wine Cube153;2013-07-27T17:03:13.000Z;no;1;Just bad wine. The worst I have ever had. Try Bota Box Sarah is you are looking for a decent boxed wine.
Love Noir;3.64 in x 3.64 in x 10.5 in;Love Noir174 Pinot Noir - 750ml Bottle;2015-01-05T22:44:50.000Z;sí;5;I am no wine expert by any means, but I love a good red for dinner or a cold night. This is the ticket. Rich, dark, fruity! Just lovely. The hubby liked it too!
Promisqous;1.0 in x 1.0 in x 1.0 in;Promisqous174 Red Blend - 750ml Bottle;2012-11-05T20:23:11.000Z;sí;5;Best wine I ever tasted
Wine Cube153;1.0 in x 1.0 in x 1.0 in;Chardonnay - 3l Bottle - Wine Cube153;2016-06-25T14:29:48.000Z;sí;5;not fruity, very satisfying. my go to chardonnay! excellent product - would expect to pay 10 / bottle for this quality
Wine Cube153;5.05 in x 4.96 in x 5.53 in;Red Blend - 500ml Bottle - Wine Cube153;2015-04-08T06:50:22.000Z;sí;5;Picked some up on a trip to the beach as they are portable non breakable and priced right! I didn't know what to expect, honestly, my expectations were not too high, being boxed wine and all. I was pleasantly surprised! It is very drinkable delicious! When I got home I returned to Target to get the large wine cube box for at home enjoyment!
Wine Cube153;1.0 in x 1.0 in x 1.0 in;Sauvignon Blanc - 3l Bottle - Wine Cube153;2013-08-17T16:07:16.000Z;sí;5;By far the best boxed wine I've found, and comparable to medium-priced bottled sauvignon blancs. A great buy.
Wine Cube153;1.0 in x 1.0 in x 1.0 in;Sauvignon Blanc - 3l Bottle - Wine Cube153;2013-08-17T16:07:16.000Z;sí;5;By far the best boxed wine I've found, and comparable to medium-priced bottled sauvignon blancs. A great buy.
California Roots;3.06 in x 3.06 in x 12.34 in;California Roots Chardonnay White Wine - 750ml;2017-11-12T00:52:24.000Z;no;2;Taste was absolutely fine for a 5 Chardonnay. However, BOTH bottles broke while removing the corkscrew. Second break was far enough I didn't want to risk drinking it because of risk of glass shards. I've bought cheaper wines like yellowtail, etc, and NEVER experienced a bottle breaking.
California Roots;3.06 in x 3.06 in x 12.34 in;California Roots Chardonnay White Wine - 750ml;2017-10-19T01:58:23.000Z;sí;4;I didnt find this to be sweet at all, but everyones taste differs. I usually dont like sweet wines so I gravitate towards Chardonnay and some Sauvignon Blancs and I felt like this one had more of a buttery taste than a sweet citrusy taste like another reviewer stated. For the price, this is definitely a keeper.
Wine Cube153;1.0 in x 1.0 in x 1.0 in;Red Blend - 3l Bottle - Wine Cube153;2016-10-22T02:08:27.000Z;sí;5;My boyfriend brought this home on a whim. We were delighted at how tasty it was. Lasted us a couple weeks - even better!
Disaronno;1.0 in x 1.0 in x 1.0 in;Disaronno174 Almond Liqueur - 750ml Bottle;2012-02-14T12:22:40.000Z;sí;4;I love Disaronno. It has a smooth texture and the flavor is lightly sweet. It's decadent on the rocks or with a little cream.
Wine Cube153;1.0 in x 1.0 in x 1.0 in;Pinot Grigio - 500ml Bottle - Wine Cube153;2015-10-10T05:00:45.000Z;sí;5;I'm surprised how good this is for the price! Tastes more like Sauvignon blanc to me...
California Roots;3.06 in x 3.06 in x 12.34 in;California Roots Red Blend Wine - 750ml;2017-09-18T19:33:35.000Z;sí;5;Nice, light wine - I was not sure what to expect but was surprised how well it tasted for a 5 bottle.
Wine Cube153;2.9 in x 3.2 in x 9.8 in;Chardonnay - 1l Bottle - Wine Cube153;2015-10-24T05:23:35.000Z;sí;4;For as much as we drink white wine, I needed to find a budget bottle. We'd been doing 6-7 dollar bottles, but this beats that. And it's pretty good! You won't impress anyone with this, but for a Monday-Thursday, home and on a budget drinking, this is good.
Fancy Pants;1.0 in x 1.0 in x 1.0 in;Fancy Pants174 Cabernet Sauvignon - 750ml Bottle;2015-04-11T20:51:24.000Z;sí;5;I served this and all the different varieties at a party. My guests and I loved them all. Since I am not a wine expert, I will simply give you some of the notes on this variety from the Fancy Pants website: ...a robust and rich palate with ripe berries, red fruit, and toasty oak flavors. Cherries and vanilla spice on the mouth lead to a long, lingering finish.
Beringer;1.0 in x 1.0 in x 1.0 in;Beringer174 Be. Flirty Pink Moscato - 750ml Bottle;2014-10-03T18:43:40.000Z;sí;5;I tried Beringer, who makes this, Pink Moscato, had no trouble opening it up with a Corkscrew, one which I just bought from Target in-store, really like its sweet, fruity flavor pink looking wine. I plan to stock up for the Holidays.
Fancy Pants;1.0 in x 1.0 in x 1.0 in;Fancy Pants174 Red Blend - 750ml Bottle;2014-05-17T21:21:39.000Z;sí;5;If you like a fruit forward blend of reds with a very smooth finish and jammy taste, you will love this! I think my 9 year search for my favorite red wine has ended!
Josh Cellars;3.256 in x 3.256 in x 12.0 in;Josh Cellars174 Ros233 - 750ml Bottle;2016-07-01T00:28:48.000Z;sí;5;This is a dry Rose, not sweet at all which is perfect for summer!
Coppola;1.0 in x 1.0 in x 1.0 in;Sofia Rose 750ml Bottle;2017-03-31T21:44:08.000Z;sí;5;A wonderful dry wine, and the taste is just divine!
Coppola;1.0 in x 1.0 in x 1.0 in;Sofia Rose 750ml Bottle;2017-03-31T21:44:08.000Z;sí;5;A wonderful dry wine, and the taste is just divine!
Strongbow;7.25 in x 4.85 in x 9.25 in;Strongbow174 Gold Apple Hard Cider - 6pk / 11.2oz Bottles;2016-06-18T18:08:26.000Z;sí;5;Been looking for Strongbow in the US for years
Spikedseltzer;4.25 in x 6.75 in x 6.0 in;Spiked Seltzer174 Indian River Grapefruit - 6pk / 12oz Cans;2017-08-07T16:38:15.000Z;sí;5;Refreshing, nice grapefruit flavor. Not for people that dislike seltzer water. It's good out of the can or poured over ice.
Truly Spiked Sparkling;9.19 in x 4.94 in x 7.71 in;Truly174 Colima Lime - 6pk / 12oz Bottles;2016-08-11T01:58:32.000Z;sí;5;IT IS NOT SWEET,AND I LIKE THAT. IF YOU LIKE THE TASTE OF SPARKLING WATER WITH THE BENEFIT OF 5 ALCOHOL. THIS IS FOR YOU.
Cupcake Vineyards;1.0 in x 1.0 in x 1.0 in;Cupcake Vineyards174 Cabernet Sauvignon - 750ml Bottle;2013-10-08T16:46:23.000Z;sí;5;Best Cabernet I've ever tasted, simple as that.
Truly Spiked Sparkling;9.19 in x 4.94 in x 7.71 in;Truly174 Grapefruit Pomelo - 6pk / 12oz Bottles;2017-05-05T16:52:39.000Z;sí;5;so refreshing! LOVEIT!
Margaritaville;1.0 in x 1.0 in x 1.0 in;Cayman Jack174 Margarita Malt Beverage - 6pk / 11.2oz Bottles;2015-09-13T20:17:00.000Z;sí;5;This Cayman Jack margarita is really good. I found it in a Southern California Target, but I can't find it in Northern California stores. :(
George Killian's;10.5 in x 15.75 in x 9.25 in;George Killian's174 Premium Irish Red - 6pk / 12oz Bottles;2012-07-11T23:42:31.000Z;sí;4;I expected this beer to be on the bitter side the first time I tried it, but I still enjoyed its smooth taste. I'd definitely buy it if I get a chance.
Entwine;1.0 in x 1.0 in x 1.0 in;Entwine174 Cabernet Sauvignon - 750ml Bottle;2016-01-27T00:00:00.000Z;sí;5;Looked like a linear regulator from outside and no reviews on it so I ordered this puppy to put it to the test. definitely a switcher and fairly quiet. Well regulated Just like all of RM Italy products, great quality.
La Marca;1.0 in x 1.0 in x 1.0 in;La Marca174 Prosecco - 750ml Bottle;2016-12-05T01:49:14.000Z;sí;5;I love sparkling wine, but I find that most brands are sweet. I'm aging and no longer want the sweet stufd. This is medium body wine with strong bubbles (I love bubbles ) . The alcohol content offers a nice buzz fairly quickly. So ecstatic I found this brand and Target carries it.
Gallo;1.0 in x 1.0 in x 1.0 in;Alamos174 Malbec - 750ml Bottle;2017-06-25T21:23:20.000Z;sí;5;I served this at my baby shower and everyone went crazy over it. It's an inexpensive gem.
Bogle Vineyards;1.0 in x 1.0 in x 1.0 in;Bogle Vineyards174 Chardonnay - 750ml Bottle;2016-05-15T00:00:00.000Z;sí;5;This wine is full-bodied and delicious.
Black Box;5.0 in x 5.0 in x 9.5 in;Black Box174 Cabernet Sauvignon - 3l Bottle;2017-07-08T00:00:00.000Z;sí;4;Super wine with fruity taste. As a regular wine drinker this is our routine wine of choice. Priced right with good taste.
Black Box;5.0 in x 5.0 in x 9.5 in;Black Box174 Cabernet Sauvignon - 3l Bottle;2016-01-27T00:00:00.000Z;no;1;Had a taste of either being old or spoiled. Stick with the bottle.
Black Box;5.0 in x 5.0 in x 9.5 in;Black Box174 Cabernet Sauvignon - 3l Bottle;2014-02-02T00:00:00.000Z;sí;5;This is our go-to wine for dinner parties. Better than most of the 10 bottles.
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam174 Bourbon Whiskey - 1.75l Bottle;2017-12-09T08:00:00.000Z;sí;5;I have been enjoying Jim Beam Original for many years. I started mixing JB-O with Slice while wife and I watched Dallas. I have tried other whiskeys, but keep coming back to JB. Now I enjoy it mixed with Diet Pepsi (since I can no longer find Slice).
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam174 Bourbon Whiskey - 1.75l Bottle;2017-11-26T08:00:00.000Z;sí;5;It goes great in apple cider
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam174 Bourbon Whiskey - 1.75l Bottle;2017-11-05T08:00:00.000Z;sí;5;Consistent flavor and quality. JB with Dr. Pepper is surprisingly tasty. I highly recommend it. Love your commercials, too. Mila is doing you proud. Keep up the good work.
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam174 Bourbon Whiskey - 1.75l Bottle;2017-10-16T07:00:00.000Z;sí;5;A true classic of spirits...
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam174 Bourbon Whiskey - 1.75l Bottle;2017-09-06T07:00:00.000Z;sí;5;I love this Bourbon as it is always my first choice when its time to unwind. Whether its Neat, On Rocks, With a Coke or Ginger Ale, or my Grandpa's Whiskey Sour, nothing tops Jim Beam!!!! Nothing!!!
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam174 Bourbon Whiskey - 1.75l Bottle;2017-08-24T00:00:00.000Z;sí;5;The white label or the devil's cut dashed with some lemonade and lime cordial is how I enjoy my Jim.
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam174 Bourbon Whiskey - 1.75l Bottle;2017-08-06T00:00:00.000Z;sí;5;Best Drink you can get
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam174 Bourbon Whiskey - 1.75l Bottle;2017-08-05T00:00:00.000Z;sí;4;to make manhattens
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam174 Bourbon Whiskey - 1.75l Bottle;2017-06-13T00:00:00.000Z;sí;5;Best bourbon I have found...have toured distillery and love the brand..
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam174 Bourbon Whiskey - 1.75l Bottle;2017-06-10T00:00:00.000Z;sí;5;Red Stag and Coke Zero is my go to drink. Only wish more bars and restaurants stocked it. Nothing like a good bourbon with a cherry kick !
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam174 Bourbon Whiskey - 1.75l Bottle;2017-06-03T00:00:00.000Z;sí;5;I like it with dr.peper to sip and relax
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam174 Bourbon Whiskey - 1.75l Bottle;2017-06-03T00:00:00.000Z;sí;5;Better than the other's
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam174 Bourbon Whiskey - 1.75l Bottle;2017-05-28T00:00:00.000Z;sí;5;Drank it for years and always smooth and tasty. Now it is running off the shelves at our liquor store.
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam174 Bourbon Whiskey - 1.75l Bottle;2017-05-21T00:00:00.000Z;sí;5;I keep Jim Beam on hand every day of the week.
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam174 Bourbon Whiskey - 1.75l Bottle;2017-05-04T00:00:00.000Z;sí;5;I typically have this neat or with an ice cube. Its light amber appearance, sweet, woody, mossy nose, and its mild moss, white oak, mellow wintergreen mint, and dried, faintly-candied fruit flavor draws the drinker into an exploration of pin-point distilling execution. Jim Beam Original has a gradual finish, with a ghost of chocolate powder, during the fade out. Highly recommended. RJT
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam174 Bourbon Whiskey - 1.75l Bottle;2017-05-17T00:00:00.000Z;sí;5;It's does have a great toaste to it the only drink I'll drink.
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam174 Bourbon Whiskey - 1.75l Bottle;2017-05-07T00:00:00.000Z;sí;5;I had a neat 2 finger glass two weeks ago of JB Black label for the first time (I've always drank Jack Daniels) and I loved it! No more Jack for me!
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam174 Bourbon Whiskey - 1.75l Bottle;2017-05-05T00:00:00.000Z;sí;5;Best tasteing and defenetly the smoothest around I love it!
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam174 Bourbon Whiskey - 1.75l Bottle;2017-05-02T00:00:00.000Z;sí;5;I always keep a bottle of Jim Bean in my liquor cabinet. Value for price is incredible and it mixes great.
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam174 Bourbon Whiskey - 1.75l Bottle;2017-01-11T00:00:00.000Z;sí;5;This is our favorite mixed drink whiskey and sams has the best price on a handle. We'll be buying this again
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam174 Bourbon Whiskey - 1.75l Bottle;2016-12-17T00:00:00.000Z;sí;5;Best whiskey around and a price that can't be beat!!
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam174 Bourbon Whiskey - 1.75l Bottle;2017-08-05T07:00:00.000Z;sí;4;to make manhattens
Jim Beam;1.0 in x 1.0 in x 1.0 in;Jim Beam174 Bourbon Whiskey - 1.75l Bottle;2017-06-13T07:00:00.000Z;sí;5;Best bourbon I have found...have toured distillery and love the brand..
Yellow Tail;1.0 in x 1.0 in x 1.0 in;Yellow Tail174 Cabernet Sauvignon - 1.5l Bottle Bottle;2015-09-16T17:56:16.000Z;sí;5;I drink Yellow Tail because you can not buy a perfect wine for the price of this one, I JUST LOVE IT!!!!!!
El Jimador;3.16 in x 3.18 in x 9.0 in;El Jimador174 Tequila Reposado - 750ml Bottle;2017-02-19T00:00:00.000Z;sí;5;I always buy this item at Walmart cause they always have it at a Great Price
Basil Hayden's;3.2 in x 3.2 in x 12.0 in;Basil Hayden's174 Bourbon - 750ml Bottle;2017-12-11T08:00:00.000Z;sí;5;As a Scotch drinker, tasting Basil Hayden's for the first time changed my opinion of Bourbons. Now I enjoy both Scotch Bourbon with BH on the top of list for Bourbons!
Basil Hayden's;3.2 in x 3.2 in x 12.0 in;Basil Hayden's174 Bourbon - 750ml Bottle;2017-11-21T08:00:00.000Z;sí;5;Very tasty bourbon!
Basil Hayden's;3.2 in x 3.2 in x 12.0 in;Basil Hayden's174 Bourbon - 750ml Bottle;2017-09-13T07:00:00.000Z;sí;5;Basil Hayden was my gateway to world of Burbon. Ever since I have held its flavor profile as the gold standard when trying others on the market bit I always find myself coming back to my first love.
Basil Hayden's;3.2 in x 3.2 in x 12.0 in;Basil Hayden's174 Bourbon - 750ml Bottle;2017-06-28T07:00:00.000Z;sí;5;Outstanding. Simply an outstanding beverage. Spicy and light with a comforting finish. A staple in my home bar rotation - I never let a bottle get near empty without backfilling it with a fresh one.
Cook's California Champagne;1.0 in x 1.0 in x 1.0 in;Cook's174 Brut Champagne - 750ml Bottle;2011-08-04T00:00:00.000Z;sí;5;I love the Cooks champagne however I cannot drink the brut. Would love Extra dry to become available at Sams in Mobile AL.
Menage A Trois;3.27 in x 3.27 in x 11.79 in;Menage A Trois174 Silk Red Blend - 750ml Bottle;2015-12-24T23:32:01.000Z;sí;5;My favorite red wine has been Menage a Trois for a long time, and this SILK blend is even better than the regular blend. The price has remained affordable while the quality has remained consistently good for these red blends.
Gallo;1.0 in x 1.0 in x 1.0 in;Barefoot174 Riesling - 1.5l Bottle Bottle;2016-08-01T07:14:28.000Z;sí;5;My mother turned me on to Barefoot Riesling a few years back and it had been a reflex to always choose it when given the option.
Davinci;1.0 in x 1.0 in x 1.0 in;Davinci174 Chianti - 750ml Bottle;2015-03-26T20:44:48.000Z;sí;5;Been trying to find a red wine with a smooth finish. This stuff is exactly what I was looking for.
Sauza;3.7 in x 2.72 in x 10.2 in;Hornitos Reposado Tequila - 750ml;2017-02-19T08:00:00.000Z;sí;5;Perfect sipping tequila ... chilled and neat !
Sauza;3.7 in x 2.72 in x 10.2 in;Hornitos Reposado Tequila - 750ml;2017-02-19T00:00:00.000Z;sí;5;Perfect sipping tequila ... chilled and neat !
Sauza;3.7 in x 2.72 in x 10.2 in;Hornitos Reposado Tequila - 750ml;2017-01-07T00:00:00.000Z;sí;5;My buddy ordered some shots of this stuff during a horns game. Frankly when it comes to tequila, I usually brace myself for a rough shot. Maybe I'm drinking the wrong stuff, because this was really easy to put back. No lingering aftertaste. Reasonably priced. Good value tequila if you're looking.
Sauza;3.7 in x 2.72 in x 10.2 in;Hornitos Reposado Tequila - 750ml;2017-01-28T00:00:00.000Z;sí;5;Straight over ice.
Pinnacle;1.0 in x 1.0 in x 1.0 in;Pinnacle174 Whipped Cream Flavored Vodka - 750ml Bottle;2017-12-14T08:00:00.000Z;sí;5;My drink of choice when I really want to enjoy my time alone.
Pinnacle;1.0 in x 1.0 in x 1.0 in;Pinnacle174 Whipped Cream Flavored Vodka - 750ml Bottle;2017-11-17T08:00:00.000Z;sí;5;Makes orange jello taste like creamsicle, strawberry taste like strawberries and cream, lemon taste like lemon meringue....I could go on and on....get some today!!
